Movie,Filenames,IMDb
It's My Party (1996),It's My Party (1996).jpg,https://www.imdb.com/title/tt0113443/
I'm the One That I Want (2000),I'm the One That I Want (2000).jpg,https://www.imdb.com/title/tt0251739
Children of the Corn IV: The Gathering (1996),Children of the Corn IV- The Gathering (1996).jpg,https://www.imdb.com/title/tt0115885/
Galaxy of Terror (Quest) (1981),Galaxy of Terror (Quest) (1981).jpg,https://www.imdb.com/title/tt0082431
Alien Contamination (1980),Alien Contamination (1980).jpg,https://www.imdb.com/title/tt0082000
Dylan Moran: Monster (2004),Dylan Moran- Monster (2004).jpg,https://www.imdb.com/title/tt0439553/
Elling (2001),Elling (2001).jpg,https://www.imdb.com/title/tt0279064/
Bill Hicks: Revelations (1993),Bill Hicks- Revelations (1993).jpg,https://www.imdb.com/title/tt0152183
The Jinx: The Life and Deaths of Robert Durst (2015),The Jinx- The Life and Deaths of Robert Durst (2015).jpg,https://www.imdb.com/title/tt4299972/
Black Mirror,Black Mirror.jpg,https://www.imdb.com/title/tt2085059/
Army of Darkness (1993),Army of Darkness (1993).jpg,https://www.imdb.com/title/tt0106308/
Hedwig and the Angry Inch (2000),Hedwig and the Angry Inch (2000).jpg,https://www.imdb.com/title/tt0248845/
